DiseaseName	PMID	Line index	The # of total tokens in sentence	Start position of tagged disease in sentence
ms	pmid: 23056220	3	29	27
ms	pmid: 22048931	3	35	33
ms	pmid: 22975388	7	49	23
ms	pmid: 22975388	9	25	13
ms	pmid: 22984406	3	33	20
ms	pmid: 22396239	2	15	11
ms	pmid: 22848712	3	8	4
ms	pmid: 22848713	3	16	14
ms	pmid: 21975206	3	29	14
ms	pmid: 21975206	8	23	11
ms	pmid: 22266343	4	27	5
ms	pmid: 21975205	2	9	5
ms	pmid: 21975205	4	27	12
ms	pmid: 21975200	3	16	2
ms	pmid: 22428845	3	17	15
ms	pmid: 23347601	4	27	14
ms	pmid: 23126555	3	18	3
ms	pmid: 22964310	2	21	10
ms	pmid: 22964310	3	19	14
ms	pmid: 22311611	3	30	12
ms	pmid: 22653056	3	23	7
ms	pmid: 23181153	6	33	27
ms	pmid: 22067621	4	43	13
ms	pmid: 23565270	2	12	3
ms	pmid: 23565270	3	13	5
ms	pmid: 23748638	4	21	13
ms	pmid: 22351849	3	52	17
ms	pmid: 23123001	3	20	5
ms	pmid: 23859234	2	21	15
ms	pmid: 23468871	3	34	29
ms	pmid: 23188981	8	11	3
ms	pmid: 22410258	7	49	46
ms	pmid: 22517095	3	50	10
ms	pmid: 23527649	3	22	9
ms	pmid: 23911752	3	24	6
ms	pmid: 22791906	4	26	8
ms	pmid: 22045554	4	26	4
ms	pmid: 23537888	3	39	14
ms	pmid: 23049678	3	43	31
ms	pmid: 22914435	2	10	8
ms	pmid: 22914435	3	21	19
ms	pmid: 23202920	2	16	6
ms	pmid: 23202920	7	30	13
ms	pmid: 23202920	8	43	16
ms	pmid: 22116203	2	10	4
ms	pmid: 22116203	3	21	19
ms	pmid: 22177922	3	22	13
ms	pmid: 22058085	3	19	12
ms	pmid: 22289050	2	14	7
ms	pmid: 22289050	3	27	4
ms	pmid: 22289050	6	47	3
ms	pmid: 22516321	2	19	17
ms	pmid: 22516321	3	14	7
ms	pmid: 23316389	3	31	9
ms	pmid: 23316389	6	16	12
ms	pmid: 21622592	3	13	11
ms	pmid: 23065787	2	14	12
ms	pmid: 23065787	8	25	23
ms	pmid: 23065787	14	24	18
ms	pmid: 23348760	2	11	5
ms	pmid: 23065788	4	25	18
ms	pmid: 23065788	6	34	9
ms	pmid: 23065788	12	49	26
ms	pmid: 23065788	13	44	16
ms	pmid: 22577119	2	16	14
ms	pmid: 22297884	5	27	12
ms	pmid: 22737082	13	33	28
ms	pmid: 23294680	2	15	13
ms	pmid: 23294680	4	38	4
ms	pmid: 23634277	3	9	6
ms	pmid: 23634277	8	20	12
ms	pmid: 21883098	2	10	8
ms	pmid: 21883098	3	34	14
ms	pmid: 22998573	6	21	16
ms	pmid: 22217249	2	19	17
ms	pmid: 22217249	3	40	36
ms	pmid: 22585288	2	9	4
ms	pmid: 22585288	3	36	6
ms	pmid: 22812720	6	38	6
ms	pmid: 22812720	13	31	12
ms	pmid: 22812720	16	24	4
ms	pmid: 23152786	2	9	7
ms	pmid: 23152786	3	56	45
ms	pmid: 23203160	2	20	15
ms	pmid: 23203160	3	28	10
ms	pmid: 23288696	6	39	17
ms	pmid: 23576622	3	30	12
ms	pmid: 22538300	3	22	20
ms	pmid: 22036953	5	16	14
ms	pmid: 22701177	4	33	25
ms	pmid: 22769044	3	11	4
ms	pmid: 23318126	3	15	10
ms	pmid: 23401803	2	18	13
ms	pmid: 22828184	2	11	7
ms	pmid: 22828184	3	51	2
ms	pmid: 22261119	2	14	11
ms	pmid: 22261119	3	22	8
ms	pmid: 22261118	7	40	7
ms	pmid: 23438232	3	13	9
ms	pmid: 22536333	3	15	13
ms	pmid: 22144311	4	55	25
ms	pmid: 22458980	2	15	13
ms	pmid: 22458980	4	17	15
ms	pmid: 22458983	2	13	4
ms	pmid: 22458983	3	32	9
ms	pmid: 22383231	3	10	8
ms	pmid: 22383230	2	11	3
ms	pmid: 22383230	3	34	17
ms	pmid: 22411505	2	22	4
ms	pmid: 22411505	3	23	9
ms	pmid: 23319475	3	23	10
ms	pmid: 21571744	2	9	7
ms	pmid: 21571744	3	16	13
ms	pmid: 23019265	3	14	8
ms	pmid: 22056965	3	29	18
ms	pmid: 21847666	3	50	36
ms	pmid: 22471303	3	22	4
ms	pmid: 22195277	6	43	30
ms	pmid: 22272817	3	36	20
ms	pmid: 21378002	7	16	3
ms	pmid: 23492997	2	14	12
ms	pmid: 23492997	4	14	11
ms	pmid: 21984532	6	11	4
ms	pmid: 21652609	4	16	14
ms	pmid: 22380843	3	28	26
ms	pmid: 22153821	5	19	17
ms	pmid: 23018359	3	24	22
ms	pmid: 21618592	3	34	31
ms	pmid: 24189079	4	22	7
ms	pmid: 21844065	3	23	9
ms	pmid: 21844064	3	20	18
ms	pmid: 21844067	3	19	6
ms	pmid: 21844067	5	28	13
ms	pmid: 21919736	2	19	14
ms	pmid: 22186852	2	10	8
ms	pmid: 22186851	6	19	11
ms	pmid: 23373525	14	20	13
ms	pmid: 23845464	2	20	12
ms	pmid: 23845464	3	34	32
ms	pmid: 21987393	2	35	28
ms	pmid: 21987393	3	31	24
ms	pmid: 21987393	5	17	6
ms	pmid: 21987393	10	37	12
ms	pmid: 23616154	2	12	7
ms	pmid: 23079871	4	27	12
ms	pmid: 23509048	3	26	19
ms	pmid: 22700708	3	16	10
ms	pmid: 23245605	16	17	15
ms	pmid: 21982872	3	16	14
ms	pmid: 21982872	5	21	11
ms	pmid: 21982871	5	51	6
ms	pmid: 22699511	4	23	21
ms	pmid: 23039230	3	20	17
ms	pmid: 23383186	2	20	7
