GeneName	PMID	Line index	The # of total tokens in sentence	Token Location in sentence
55364	pmid: 21802694	3	23	18
9215	pmid: 21802694	3	23	16
9215	pmid: 21802694	4	34	23
9215	pmid: 21801451	3	34	29
83985	pmid: 21800960	7	15	10
120892	pmid: 21799870	2	16	2
1057	pmid: 21799870	2	16	10
120892	pmid: 21799870	3	9	4
120892	pmid: 21799870	4	24	19
1057	pmid: 21799870	4	24	9
120892	pmid: 21799870	5	58	52
1057	pmid: 21799870	5	58	57
120892	pmid: 21799870	7	25	19
1057	pmid: 21799870	7	25	14
120892	pmid: 21799870	8	31	5
1057	pmid: 21799745	4	23	7
1057	pmid: 21799745	5	28	24
4280	pmid: 21798732	4	19	17
4280	pmid: 21798732	7	24	15
1057	pmid: 21798243	6	27	23
11315	pmid: 21796667	4	13	10
4280	pmid: 21796667	6	19	7
11315	pmid: 21796667	6	19	5
11315	pmid: 21796667	8	20	5
131096	pmid: 21796667	9	13	6
4280	pmid: 21796667	10	30	26
11315	pmid: 21796667	10	30	24
6647	pmid: 21796667	10	30	15
11315	pmid: 21796667	11	13	6
6647	pmid: 21796667	11	13	4
11315	pmid: 21796667	12	27	15
6647	pmid: 21796667	12	27	17
11315	pmid: 21796667	13	18	5
6647	pmid: 21796667	13	18	7
1057	pmid: 21796424	6	17	10
1057	pmid: 21795716	2	19	15
1761	pmid: 21795716	6	26	15
1057	pmid: 21795716	7	14	13
1761	pmid: 21795716	7	14	4
1057	pmid: 21795716	9	10	3
1057	pmid: 21795716	11	12	7
1057	pmid: 21795716	12	20	19
4280	pmid: 21793734	7	39	4
4280	pmid: 21793734	9	45	25
55364	pmid: 21791351	6	34	19
3122	pmid: 21791235	3	25	9
2932	pmid: 21790007	2	12	3
1934	pmid: 21790007	5	36	13
2932	pmid: 21790007	6	19	9
55364	pmid: 21788252	3	30	20
55364	pmid: 21788252	11	25	5
9644	pmid: 21787968	7	9	6
10922	pmid: 21787806	9	22	16
4137	pmid: 21787314	2	16	14
6622	pmid: 21787314	2	16	12
4280	pmid: 21787314	3	32	5
120892	pmid: 21787314	4	33	21
4137	pmid: 21787314	4	33	29
4280	pmid: 21787314	4	33	17
65018	pmid: 21784538	4	18	3
5072	pmid: 21782285	2	12	8
5072	pmid: 21782285	3	31	30
4280	pmid: 21782285	4	22	16
5072	pmid: 21782285	4	22	9
6547	pmid: 21782285	8	13	9
9321	pmid: 21782285	8	13	12
5072	pmid: 21782285	13	17	9
9215	pmid: 21782285	14	16	4
5072	pmid: 21782285	15	21	8
1815	pmid: 21781348	5	42	17
4129	pmid: 21781348	6	36	7
1312	pmid: 21781348	7	29	5
1813	pmid: 21781348	8	12	2
1815	pmid: 21781348	8	12	5
1312	pmid: 21781348	9	44	2
1312	pmid: 21781348	11	15	2
4129	pmid: 21781348	11	15	5
1057	pmid: 21776258	3	21	11
1057	pmid: 21776258	9	23	22
57498	pmid: 21775040	6	8	5
348	pmid: 21772670	4	32	10
348	pmid: 21772670	5	36	27
348	pmid: 21772670	6	11	2
348	pmid: 21772670	7	16	12
348	pmid: 21772670	8	24	19
348	pmid: 21772670	9	25	21
2596	pmid: 21769916	2	10	9
1057	pmid: 21769916	3	19	2
1057	pmid: 21769916	6	16	11
8877	pmid: 21769916	6	16	5
2596	pmid: 21769916	8	27	12
8877	pmid: 21769916	8	27	24
2596	pmid: 21769916	9	16	15
8877	pmid: 21769916	9	16	7
2596	pmid: 21769916	11	6	5
2596	pmid: 21769916	12	35	34
8877	pmid: 21769916	16	21	12
2596	pmid: 21769916	17	15	6
1057	pmid: 21769124	2	11	7
2000	pmid: 21768919	6	15	4
9215	pmid: 21768599	10	15	13
9215	pmid: 21768369	5	40	35
65018	pmid: 21768365	4	15	12
65018	pmid: 21768365	11	31	16
120892	pmid: 21768216	2	17	3
120892	pmid: 21768216	3	42	35
120892	pmid: 21768216	4	31	30
120892	pmid: 21768216	5	11	9
120892	pmid: 21768216	7	22	16
120892	pmid: 21768216	8	13	6
142	pmid: 21767974	2	8	4
1057	pmid: 21767974	4	29	28
142	pmid: 21767974	5	23	13
142	pmid: 21767974	6	25	11
142	pmid: 21767974	9	33	10
142	pmid: 21767974	10	17	7
